INDIVIDUALS	STRATA
SHE_3022	SHE
SHE_3023	SHE
SHE_3024	SHE
SHE_3025	SHE
SHE_3027	SHE
SHE_3028	SHE
SHE_3029	SHE
SHE_3030	SHE
SHE_3031	SHE
SHE_3033	SHE
SHE_3034	SHE
SHE_3035	SHE
SHE_3036	SHE
SHE_3037	SHE
SHE_3039	SHE
SHE_3040	SHE
SHE_3041	SHE
SHE_3042	SHE
TBL_2920	TBL
TBL_2921	TBL
TBL_2922	TBL
TBL_2923	TBL
TBL_2924	TBL
TBL_2926	TBL
TBL_2927	TBL
TBL_2928	TBL
TBL_2929	TBL
TBL_2930	TBL
TBL_2932	TBL
TBL_2933	TBL
TBL_2934	TBL
TBL_2935	TBL
TBL_2936	TBL
TBL_2937	TBL
TBL_2938	TBL
TBL_2940	TBL
TBL_2941	TBL
TBL_2942	TBL
TBL_2943	TBL
TBL_2944	TBL
TBL_2946	TBL
TBL_2947	TBL
TBL_2948	TBL
TBL_2949	TBL
TBL_2952	TBL
TBL_2953	TBL
TBL_2954	TBL
TBL_2957	TBL
TBL_2958	TBL
TBL_2959	TBL
TOF_1696	TOF
TOF_1699	TOF
TOF_1700	TOF
TOF_1701	TOF
TOF_1702	TOF
TOF_1704	TOF
TOF_1705	TOF
TOF_1706	TOF
TOF_1707	TOF
TOF_1709	TOF
TOF_1710	TOF
TOF_1711	TOF
TOF_1715	TOF
TOF_1718	TOF
TOF_1719	TOF
TOF_1720	TOF
TOF_1721	TOF
TOF_1722	TOF
TOF_1723	TOF
TOF_1724	TOF
AK1_1	AK1
AK1_10	AK1
AK1_11	AK1
AK1_12	AK1
AK1_13	AK1
AK1_14	AK1
AK1_15	AK1
AK1_16	AK1
AK1_17	AK1
AK1_18	AK1
AK1_19	AK1
AK1_2	AK1
AK1_20	AK1
AK1_21	AK1
AK1_22	AK1
AK1_23	AK1
AK1_24	AK1
AK1_25	AK1
AK1_27	AK1
AK1_28	AK1
AK1_3	AK1
AK1_30	AK1
AK1_4	AK1
AK1_5	AK1
AK1_6	AK1
AK1_7	AK1
AK1_8	AK1
AK1_9	AK1
AK2_31	AK2
AK2_32	AK2
AK2_33	AK2
AK2_34	AK2
AK2_35	AK2
AK2_36	AK2
AK2_37	AK2
AK2_38	AK2
AK2_39	AK2
AK2_40	AK2
AK2_41	AK2
AK2_42	AK2
AK2_43	AK2
AK2_44	AK2
AK2_46	AK2
AK2_47	AK2
AK2_48	AK2
AK2_49	AK2
AK2_50	AK2
AK2_51	AK2
AK2_52	AK2
AK2_53	AK2
AK2_54	AK2
AK2_55	AK2
AK2_56	AK2
AK2_57	AK2
AK2_58	AK2
AK3_61	AK3
AK3_62	AK3
AK3_63	AK3
AK3_64	AK3
AK3_65	AK3
AK3_66	AK3
AK3_67	AK3
AK3_68	AK3
AK3_69	AK3
AK3_70	AK3
AK3_71	AK3
AK3_72	AK3
AK3_73	AK3
AK3_74	AK3
AK3_76	AK3
AK3_77	AK3
AK3_78	AK3
AK3_79	AK3
AK3_80	AK3
AK3_81	AK3
AK3_82	AK3
AK3_83	AK3
AK3_84	AK3
AK3_85	AK3
AK3_86	AK3
AK3_88	AK3
AK3_89	AK3
AK3_90	AK3
AK4_100	AK4
AK4_101	AK4
AK4_102	AK4
AK4_103	AK4
AK4_104	AK4
AK4_105	AK4
AK4_106	AK4
AK4_107b	AK4
AK4_108	AK4
AK4_109	AK4
AK4_110	AK4
AK4_111b	AK4
AK4_112	AK4
AK4_113	AK4
AK4_114	AK4
AK4_115	AK4
AK4_116b	AK4
AK4_117	AK4
AK4_118	AK4
AK4_119	AK4
AK4_120	AK4
AK4_91	AK4
AK4_92	AK4
AK4_93	AK4
AK4_94	AK4
AK4_95	AK4
AK4_96	AK4
AK4_97	AK4
AK4_98	AK4
AK4_99	AK4
CAL_1461	CAL
CAL_1462	CAL
CAL_1463	CAL
CAL_1464	CAL
CAL_1465	CAL
CAL_1466	CAL
CAL_1467	CAL
CAL_1468	CAL
CAL_1469	CAL
CAL_1470	CAL
CAL_1471	CAL
CAL_1472	CAL
CAL_1473	CAL
CAL_1474	CAL
CAL_1475	CAL
CAL_1476	CAL
CAL_1477	CAL
CAL_1478	CAL
CAL_1479	CAL
CAL_1480	CAL
CAL_1481	CAL
CAL_1482	CAL
CAL_1483	CAL
CAL_1484	CAL
CAL_1485	CAL
CAL_1486	CAL
CAL_1487	CAL
CAL_1488	CAL
CAL_1489	CAL
CAL_1490	CAL
JUA_1192	JUA
JUA_1193	JUA
JUA_1194	JUA
JUA_1195	JUA
JUA_1196	JUA
JUA_1197	JUA
JUA_1198	JUA
JUA_1199	JUA
JUA_1200	JUA
JUA_1201	JUA
JUA_1202	JUA
JUA_1203	JUA
JUA_1204	JUA
JUA_1205	JUA
JUA_1206	JUA
JUA_1207	JUA
JUA_1209	JUA
JUA_1210	JUA
JUA_1211	JUA
JUA_1212	JUA
JUA_1213	JUA
JUA_1215	JUA
JUA_1216	JUA
JUA_1371	JUA
JUA_1372	JUA
JUA_1373	JUA
JUA_1375	JUA
JUA_1377	JUA
JUA_1378	JUA
JUA_1379	JUA
LEG_1601	LEG
LEG_1602	LEG
LEG_1603	LEG
LEG_1604	LEG
LEG_1606	LEG
LEG_1607	LEG
LEG_1608	LEG
LEG_1609	LEG
LEG_1610	LEG
LEG_1611b	LEG
LEG_1612	LEG
LEG_1613	LEG
LEG_1614	LEG
LEG_1615	LEG
LEG_1616	LEG
LEG_1618	LEG
LEG_1619	LEG
LEG_1620	LEG
LEG_1621	LEG
LEG_1622	LEG
LEG_1623	LEG
LEG_1625	LEG
LEG_1626	LEG
LEG_1627	LEG
LEG_1628	LEG
LEG_1629	LEG
LEG_1630	LEG
LEG_1631	LEG
MAZ_1501	MAZ
MAZ_1502	MAZ
MAZ_1503	MAZ
MAZ_1504	MAZ
MAZ_1505	MAZ
MAZ_1506	MAZ
MAZ_1507	MAZ
MAZ_1508	MAZ
MAZ_1509	MAZ
MAZ_1510	MAZ
MAZ_1511	MAZ
MAZ_1512	MAZ
MAZ_1514	MAZ
MAZ_1515	MAZ
